PP,y_true,y_pred,Age,Gender,Occupation
PP1,0,0,27,m,student
PP1,0,1,27,m,student
PP1,0,0,27,m,student
PP1,0,1,27,m,student
PP1,0,1,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,1,27,m,student
PP1,1,1,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,0,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP1,1,0,27,m,student
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,0,0,25,m,Information Science
PP10,1,0,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
PP10,1,1,25,m,Information Science
